element,subelement,rarnum,season_id,name,s,f,state,conc,mapping_qu,g_source,s_source,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,nesting,migrating,molting,hatching,spawning,eggs,larvae,juveniles,adults,mating,calving,pupping,internesti
BIRD,alcid,91,0,Alcids,,,,,GENERAL DISTRIBUTION,416,416,X,X,X,X,,,,,,,,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,diving,90,0,Brown pelican,,,,10S,GENERAL DISTRIBUTION,404,413,,X,X,X,X,X,X,X,X,X,,,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,diving,90,0,Double-crested cormorant,,,,10S,GENERAL DISTRIBUTION,404,413,X,X,X,X,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,diving,91,0,Loons,,,,10S,GENERAL DISTRIBUTION,404,413,X,X,X,X,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,91,0,Black tern,,,,"1,000S",GENERAL DISTRIBUTION,416,416,,,,,,X,X,X,X,X,,,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,91,0,Gulls,,,,100S,GENERAL DISTRIBUTION,404,412,X,X,X,X,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,91,0,Gulls,,,,10S,GENERAL DISTRIBUTION,404,412,,,,,X,X,X,X,X,X,,,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,91,0,Least tern,,,,,GENERAL DISTRIBUTION,404,413,,,X,X,X,X,X,X,X,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,91,0,Terns,,,,100S,GENERAL DISTRIBUTION,404,413,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,113,0,Least tern,,,,,NESTING,412,412,,,X,X,X,X,X,X,X,,,,APR-AUG,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,gull_tern,115,0,Least tern,,,,12 NESTS,NESTING,410,412,,,X,X,X,X,X,X,X,,,,APR-AUG,-,-,-,-,-,-,-,-,-,-,-,-
