RARNUM,StreetAddr,ZIP5,UseCode,YearBuilt,SQFTmain,Units,TotalVal
5077001001,3007 W 5TH ST,90020,Residential,1957,14990,18,662504
5077001020,419 S COMMONWEALTH AVE,90020,Residential,1960,11077,12,285363
5077001021,409 S COMMONWEALTH AVE,90020,Residential,1960,10366,12,836144
5077002093,"435 S VIRGIL AVE, NO 114",90020,Residential,1986,679,1,130546
5077001002,"435 S HOOVER ST, APT 0011",90020,Residential,1955,9074,12,601810
5077002061,"424 S WESTMORELAND AVE, UNIT 211",90020,Residential,1982,666,1,115746
5077002099,"435 S VIRGIL AVE, NO 122",90020,Residential,1986,926,1,184093
5077002034,411 S VIRGIL AVE,90020,Residential,1979,48498,70,10117839
5077002083,"435 S VIRGIL AVE, NO 125",90020,Residential,1986,834,1,246863
5077002147,"435 S VIRGIL AVE, NO 305",90020,Residential,1986,838,1,215976
5077002020,446 SHATTO PL,90020,Commercial,1972,0,0,263104
5077002052,"424 S WESTMORELAND AVE, UNIT 202",90020,Residential,1982,956,1,264000
5077002101,"435 S VIRGIL AVE, NO 128",90020,Residential,1986,649,1,132694
5077002064,"424 S WESTMORELAND AVE, UNIT 301",90020,Residential,1982,1035,1,99630
5077002096,"435 S VIRGIL AVE, NO 117",90020,Residential,1986,931,1,110971
5077002100,"435 S VIRGIL AVE, NO 124",90020,Residential,1986,640,1,52084
5077002155,"435 S VIRGIL AVE, NO 316",90020,Residential,1986,649,1,138286
5077002012,430 S WESTMORELAND AVE,90020,Residential,1919,3256,1,464767
5077002067,"424 S WESTMORELAND AVE, UNIT 304",90020,Residential,1982,1035,1,245911
5077002174,411 S WESTMORELAND AVE,90020,Residential,1991,241490,244,34040243
5077002088,"435 S VIRGIL AVE, NO 106",90020,Residential,1986,842,1,146265
5077002124,"435 S VIRGIL AVE, NO 215",90020,Residential,1986,649,1,114639
5077002032,444 S WESTMORELAND AVE,90020,Residential,1913,4694,1,626649
5077002109,"435 S VIRGIL AVE, NO 111",90020,Residential,1986,640,1,208761
5077002145,"435 S VIRGIL AVE, NO 327",90020,Residential,1986,839,1,287000
5077002062,"424 S WESTMORELAND AVE, UNIT 212",90020,Residential,1982,623,1,158817
5077002089,"435 S VIRGIL AVE, NO 108",90020,Residential,1986,617,1,225000
5077002098,"435 S VIRGIL AVE, NO 120",90020,Residential,1986,640,1,233000
5077002123,"435 S VIRGIL AVE, NO 214",90020,Residential,1986,679,1,116237
5077002132,"435 S VIRGIL AVE, NO 229",90020,Residential,1986,931,1,244000
5077002203,"417 S WESTMORELAND AVE, 402",90020,Residential,2007,1130,1,355340
5077002114,"435 S VIRGIL AVE, NO 226",90020,Residential,1986,838,1,315000
5077002045,"424 S WESTMORELAND AVE, UNIT 108",90020,Residential,1982,1034,1,256000
5077002115,"435 S VIRGIL AVE, NO 227",90020,Residential,1986,839,1,287000
5077002186,"456 SHATTO PL, 11",90020,Residential,2002,1259,1,343509
5077002190,"456 SHATTO PL, 15",90020,Residential,2002,1259,1,453000
5077001027,424 S VIRGIL AVE,90020,Residential,1922,2260,1,132826
5077001031,401 S HOOVER ST,90020,Residential,1972,47731,67,9324139
5077002075,"424 S WESTMORELAND AVE, UNIT 312",90020,Residential,1982,623,1,132553
5077002180,"456 SHATTO PL, 5",90020,Residential,2002,1259,1,339663
5077002181,"456 SHATTO PL, 6",90020,Residential,2002,1259,1,401000
5077004017,511 S WESTMORELAND AVE,90020,Commercial,0,0,0,409971
5077009012,3130 W 6TH ST,90020,Commercial,1939,4861,0,837546
5077009026,621 S WESTMORELAND AVE,90005,Commercial,1951,13100,0,2349221
5077002051,"424 S WESTMORELAND AVE, UNIT 201",90020,Residential,1982,1035,1,256000
5077002205,"417 S WESTMORELAND AVE, 404",90020,Residential,2007,1380,1,371678
5077004030,525 S VIRGIL AVE,90020,Commercial,1965,56072,0,5328161
5077002106,"435 S VIRGIL AVE, NO 103",90020,Residential,1986,640,1,225000
5077002163,"435 S VIRGIL AVE, NO 330",90020,Residential,1986,640,1,127265
5077003025,425 SHATTO PL,90020,Commercial,1970,86840,0,12004276
5077007022, ,0,Commercial,0,0,0,2209987
5077002060,"424 S WESTMORELAND AVE, UNIT 210",90020,Residential,1982,1064,1,86345
5077002196,"417 S WESTMORELAND AVE, 203",90020,Residential,2007,1130,1,361000
5077005020,2951 W 6TH ST,90020,Residential,0,0,0,830517
5077009028, ,0,Commercial,1951,42561,0,5378843
5077002144,"435 S VIRGIL AVE, NO 326",90020,Residential,1986,838,1,88558
5077002182,"456 SHATTO PL, 7",90020,Residential,2002,1259,1,401000
5077005019,2965 W 6TH ST,90020,Commercial,0,0,0,455944
5077009011,610 SHATTO PL,90005,Commercial,1952,7782,0,776856
5077002154,"435 S VIRGIL AVE, NO 315",90020,Residential,1986,649,1,157946
5077007020,2975 WILSHIRE BLVD,90010,Commercial,1957,121542,0,2981427
5077002191,"456 SHATTO PL, 16",90020,Residential,2002,1259,1,401000
5077004009,3019 W 6TH ST,90020,Commercial,1933,1696,0,441997
5077004021,3101 W 6TH ST,90020,Commercial,1924,19188,0,824475
5077002175,412 S WESTMORELAND AVE,90020,Residential,1989,59154,74,5798536
5077007025,639 S COMMONWEALTH AVE,90005,Commercial,1929,196790,0,4489644
5077009001,601 S WESTMORELAND AVE,90005,Commercial,1949,19000,0,2731289
5077009010,612 SHATTO PL,90005,Commercial,1948,4904,0,770590
